"playerID","trialID","questionset","question","condition","correctanswer","stimuli.true","response_1","response_2","response_3","correct_1","correct_2","correct_3","gender","race","marital","eng.first.lang","eng.read","lang.home","zip","citizenship","years.in.us","enrolled","education","employed","income","hh.size","deg.minors","poli.party","poli.orient","religious","religion","edu.ordinal","income.ordinal","relig.ordinal","ideology_strength"
"dFX7YjeaSwfK84h2k",8,"stim1_f_num,stim6_f_num,stim13_t_num,stim18_t_num","stim18_terrorism_true.png","Probabilistic","100",FALSE,"50","50","30",FALSE,FALSE,FALSE,"Female","White, non-Hispanic or Latino","Living with partner","Yes","Excellent","English",29163,"UNITED STATES",53,"No","Some college","Yes, part time","$50,001- $75,000","2","0","Republican","Conservative","Definitely yes","I do not identify with any of these",2,4,5,2
"dFX7YjeaSwfK84h2k",8,"stim1_f_num,stim6_f_num,stim13_t_num,stim18_t_num","stim1_false_political.png","Probabilistic","0",TRUE,"75","75","75",FALSE,FALSE,FALSE,"Female","White, non-Hispanic or Latino","Living with partner","Yes","Excellent","English",29163,"UNITED STATES",53,"No","Some college","Yes, part time","$50,001- $75,000","2","0","Republican","Conservative","Definitely yes","I do not identify with any of these",2,4,5,2
"nYoGbZPL6zFnj6hxk",43,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim8_news_false.png","Probabilistic","0",TRUE,"19","19","18",TRUE,TRUE,TRUE,"Male","White, non-Hispanic or Latino","Married","Yes","Excellent","English",84106,"UNITED STATES",40,"No","Master's degree","Yes, full time","$100,001 - $150,000","3-5","3 or more","Independent","Conservative","Definitely yes","Mormonism",4,6,5,2
"nYoGbZPL6zFnj6hxk",43,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim3_vaccines_false.png","Probabilistic","0",TRUE,"34","34","33",TRUE,TRUE,TRUE,"Male","White, non-Hispanic or Latino","Married","Yes","Excellent","English",84106,"UNITED STATES",40,"No","Master's degree","Yes, full time","$100,001 - $150,000","3-5","3 or more","Independent","Conservative","Definitely yes","Mormonism",4,6,5,2
"nYoGbZPL6zFnj6hxk",43,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim9_politics_true.png","Probabilistic","100",FALSE,"3","3","3",FALSE,FALSE,FALSE,"Male","White, non-Hispanic or Latino","Married","Yes","Excellent","English",84106,"UNITED STATES",40,"No","Master's degree","Yes, full time","$100,001 - $150,000","3-5","3 or more","Independent","Conservative","Definitely yes","Mormonism",4,6,5,2
"nYoGbZPL6zFnj6hxk",43,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim10_politics_true.png","Probabilistic","100",FALSE,"65","65","65",TRUE,TRUE,TRUE,"Male","White, non-Hispanic or Latino","Married","Yes","Excellent","English",84106,"UNITED STATES",40,"No","Master's degree","Yes, full time","$100,001 - $150,000","3-5","3 or more","Independent","Conservative","Definitely yes","Mormonism",4,6,5,2
"rLGQMEHtDQthnTbm5",6,"stim1_f_num,stim6_f_num,stim13_t_num,stim18_t_num","stim13_economics_true.png","Probabilistic","100",FALSE,"40","50","55",FALSE,FALSE,TRUE,"Male","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",23434,"UNITED STATES",21,"Yes, full time","High school diploma or GED","Yes, full time","$50,001- $75,000","3-5","0","Democratic","Liberal","Definitely not","Atheism",1,4,1,2
"rLGQMEHtDQthnTbm5",6,"stim1_f_num,stim6_f_num,stim13_t_num,stim18_t_num","stim6_political_false.png","Probabilistic","0",TRUE,"10","14","15",TRUE,TRUE,TRUE,"Male","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",23434,"UNITED STATES",21,"Yes, full time","High school diploma or GED","Yes, full time","$50,001- $75,000","3-5","0","Democratic","Liberal","Definitely not","Atheism",1,4,1,2
"rLGQMEHtDQthnTbm5",6,"stim1_f_num,stim6_f_num,stim13_t_num,stim18_t_num","stim1_false_political.png","Probabilistic","0",TRUE,"30","30","30",TRUE,TRUE,TRUE,"Male","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",23434,"UNITED STATES",21,"Yes, full time","High school diploma or GED","Yes, full time","$50,001- $75,000","3-5","0","Democratic","Liberal","Definitely not","Atheism",1,4,1,2
"rLGQMEHtDQthnTbm5",6,"stim1_f_num,stim6_f_num,stim13_t_num,stim18_t_num","stim18_terrorism_true.png","Probabilistic","100",FALSE,"65","65","65",TRUE,TRUE,TRUE,"Male","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",23434,"UNITED STATES",21,"Yes, full time","High school diploma or GED","Yes, full time","$50,001- $75,000","3-5","0","Democratic","Liberal","Definitely not","Atheism",1,4,1,2
"vpncZHi8BWZoR2vG6",4,"stim5_f_num,stim4_f_num,stim11_t_num,stim14_t_num","stim14_health_true.png","Probabilistic","100",FALSE,"88","78","75",TRUE,TRUE,TRUE,"Male","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",75701,"UNITED STATES",29,"No","Master's degree","Yes, full time","$50,001- $75,000","1","0","Independent","Moderate","Definitely not","Atheism",4,4,1,1
"eFYa6mZ9vj6xDfbqv",41,"stim1_f_num,stim6_f_num,stim13_t_num,stim18_t_num","stim18_terrorism_true.png","Probabilistic","100",FALSE,"70","67","77",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Married","Yes","Excellent","English",32712,"UNITED STATES",39,"No","Bachelor's degree","No","$100,001 - $150,000","3-5","1-2","Independent","Moderate","Definitely yes","Protestantism",3,6,5,1
"eFYa6mZ9vj6xDfbqv",41,"stim1_f_num,stim6_f_num,stim13_t_num,stim18_t_num","stim6_political_false.png","Probabilistic","0",TRUE,"40","31","26",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Married","Yes","Excellent","English",32712,"UNITED STATES",39,"No","Bachelor's degree","No","$100,001 - $150,000","3-5","1-2","Independent","Moderate","Definitely yes","Protestantism",3,6,5,1
"eFYa6mZ9vj6xDfbqv",41,"stim1_f_num,stim6_f_num,stim13_t_num,stim18_t_num","stim1_false_political.png","Probabilistic","0",TRUE,"45","67","61",TRUE,FALSE,FALSE,"Female","White, non-Hispanic or Latino","Married","Yes","Excellent","English",32712,"UNITED STATES",39,"No","Bachelor's degree","No","$100,001 - $150,000","3-5","1-2","Independent","Moderate","Definitely yes","Protestantism",3,6,5,1
"eFYa6mZ9vj6xDfbqv",41,"stim1_f_num,stim6_f_num,stim13_t_num,stim18_t_num","stim13_economics_true.png","Probabilistic","100",FALSE,"21","22","26",FALSE,FALSE,FALSE,"Female","White, non-Hispanic or Latino","Married","Yes","Excellent","English",32712,"UNITED STATES",39,"No","Bachelor's degree","No","$100,001 - $150,000","3-5","1-2","Independent","Moderate","Definitely yes","Protestantism",3,6,5,1
"Cp3EpJLcGAK7MQAW8",23,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim3_vaccines_false.png","Probabilistic","0",TRUE,"60","55","65",FALSE,FALSE,FALSE,"Female","Asian Pacific or South-East Asian (e.g. Japanese, Korean, Chinese, Thai, Vietnamese, etc.)","Married","Yes","Excellent","English",19943,"UNITED STATES",37,"No","Some college","Yes, full time","$20,001 - $50,000","3-5","1-2","Democratic","Moderate","Probably yes","Catholicism",2,3,4,1
"Cp3EpJLcGAK7MQAW8",23,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim9_politics_true.png","Probabilistic","100",FALSE,"95","100","100",TRUE,TRUE,TRUE,"Female","Asian Pacific or South-East Asian (e.g. Japanese, Korean, Chinese, Thai, Vietnamese, etc.)","Married","Yes","Excellent","English",19943,"UNITED STATES",37,"No","Some college","Yes, full time","$20,001 - $50,000","3-5","1-2","Democratic","Moderate","Probably yes","Catholicism",2,3,4,1
"Cp3EpJLcGAK7MQAW8",23,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim8_news_false.png","Probabilistic","0",TRUE,"29","50","40",TRUE,FALSE,TRUE,"Female","Asian Pacific or South-East Asian (e.g. Japanese, Korean, Chinese, Thai, Vietnamese, etc.)","Married","Yes","Excellent","English",19943,"UNITED STATES",37,"No","Some college","Yes, full time","$20,001 - $50,000","3-5","1-2","Democratic","Moderate","Probably yes","Catholicism",2,3,4,1
"Cp3EpJLcGAK7MQAW8",23,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim10_politics_true.png","Probabilistic","100",FALSE,"94","80","69",TRUE,TRUE,TRUE,"Female","Asian Pacific or South-East Asian (e.g. Japanese, Korean, Chinese, Thai, Vietnamese, etc.)","Married","Yes","Excellent","English",19943,"UNITED STATES",37,"No","Some college","Yes, full time","$20,001 - $50,000","3-5","1-2","Democratic","Moderate","Probably yes","Catholicism",2,3,4,1
"bBNvWSKoTCdpoqJKu",18,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim3_vaccines_false.png","Probabilistic","0",TRUE,"0","0","0",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Married","Yes","Excellent","English",20423,"UNITED STATES",59,"No","Bachelor's degree","No","$20,001 - $50,000","2","0","Democratic","Very liberal","Definitely not","Atheism",3,3,1,3
"bBNvWSKoTCdpoqJKu",18,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim9_politics_true.png","Probabilistic","100",FALSE,"69","80","93",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Married","Yes","Excellent","English",20423,"UNITED STATES",59,"No","Bachelor's degree","No","$20,001 - $50,000","2","0","Democratic","Very liberal","Definitely not","Atheism",3,3,1,3
"bBNvWSKoTCdpoqJKu",18,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim8_news_false.png","Probabilistic","0",TRUE,"11","5","5",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Married","Yes","Excellent","English",20423,"UNITED STATES",59,"No","Bachelor's degree","No","$20,001 - $50,000","2","0","Democratic","Very liberal","Definitely not","Atheism",3,3,1,3
"bBNvWSKoTCdpoqJKu",18,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim10_politics_true.png","Probabilistic","100",FALSE,"7","37","3",FALSE,FALSE,FALSE,"Female","White, non-Hispanic or Latino","Married","Yes","Excellent","English",20423,"UNITED STATES",59,"No","Bachelor's degree","No","$20,001 - $50,000","2","0","Democratic","Very liberal","Definitely not","Atheism",3,3,1,3
"wX7tq4c4YyS8YewuN",11,"stim1_f_num,stim6_f_num,stim13_t_num,stim18_t_num","stim1_false_political.png","Probabilistic","0",TRUE,"19","21","0",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Living with partner","Yes","Excellent","English",27513,"UNITED STATES",34,"No","Some college","No","$20,001 - $50,000","3-5","0","Democratic","Liberal","Definitely yes","Catholicism",2,3,5,2
"wX7tq4c4YyS8YewuN",11,"stim1_f_num,stim6_f_num,stim13_t_num,stim18_t_num","stim18_terrorism_true.png","Probabilistic","100",FALSE,"76","85","75",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Living with partner","Yes","Excellent","English",27513,"UNITED STATES",34,"No","Some college","No","$20,001 - $50,000","3-5","0","Democratic","Liberal","Definitely yes","Catholicism",2,3,5,2
"wX7tq4c4YyS8YewuN",11,"stim1_f_num,stim6_f_num,stim13_t_num,stim18_t_num","stim13_economics_true.png","Probabilistic","100",FALSE,"50","75","100",FALSE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Living with partner","Yes","Excellent","English",27513,"UNITED STATES",34,"No","Some college","No","$20,001 - $50,000","3-5","0","Democratic","Liberal","Definitely yes","Catholicism",2,3,5,2
"wX7tq4c4YyS8YewuN",11,"stim1_f_num,stim6_f_num,stim13_t_num,stim18_t_num","stim6_political_false.png","Probabilistic","0",TRUE,"4","0","0",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Living with partner","Yes","Excellent","English",27513,"UNITED STATES",34,"No","Some college","No","$20,001 - $50,000","3-5","0","Democratic","Liberal","Definitely yes","Catholicism",2,3,5,2
"8n3bLDtPJR8DdfFEe",19,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim8_news_false.png","Probabilistic","0",TRUE,"75","75","80",FALSE,FALSE,FALSE,"Male","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",34769,"UNITED STATES",33,"No","Bachelor's degree","Yes, part time","$10,000 - $20,000","1","0","Republican","Conservative","Definitely not","Atheism",3,2,1,2
"8n3bLDtPJR8DdfFEe",19,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim3_vaccines_false.png","Probabilistic","0",TRUE,"0","0","0",TRUE,TRUE,TRUE,"Male","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",34769,"UNITED STATES",33,"No","Bachelor's degree","Yes, part time","$10,000 - $20,000","1","0","Republican","Conservative","Definitely not","Atheism",3,2,1,2
"8n3bLDtPJR8DdfFEe",19,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim9_politics_true.png","Probabilistic","100",FALSE,"65","70","75",TRUE,TRUE,TRUE,"Male","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",34769,"UNITED STATES",33,"No","Bachelor's degree","Yes, part time","$10,000 - $20,000","1","0","Republican","Conservative","Definitely not","Atheism",3,2,1,2
"8n3bLDtPJR8DdfFEe",19,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim10_politics_true.png","Probabilistic","100",FALSE,"100","100","100",TRUE,TRUE,TRUE,"Male","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",34769,"UNITED STATES",33,"No","Bachelor's degree","Yes, part time","$10,000 - $20,000","1","0","Republican","Conservative","Definitely not","Atheism",3,2,1,2
"RC6XdFCqG3u6H5f3A",23,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim8_news_false.png","Probabilistic","0",TRUE,"51","49","39",FALSE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",33314,"UNITED STATES",23,"Yes, full time","Some college","Yes, part time","$20,001 - $50,000","3-5","0","Democratic","Liberal","Definitely not","I do not identify with any of these",2,3,1,2
"RC6XdFCqG3u6H5f3A",23,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim10_politics_true.png","Probabilistic","100",FALSE,"0","0","0",FALSE,FALSE,FALSE,"Female","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",33314,"UNITED STATES",23,"Yes, full time","Some college","Yes, part time","$20,001 - $50,000","3-5","0","Democratic","Liberal","Definitely not","I do not identify with any of these",2,3,1,2
"RC6XdFCqG3u6H5f3A",23,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim9_politics_true.png","Probabilistic","100",FALSE,"0","50","74",FALSE,FALSE,TRUE,"Female","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",33314,"UNITED STATES",23,"Yes, full time","Some college","Yes, part time","$20,001 - $50,000","3-5","0","Democratic","Liberal","Definitely not","I do not identify with any of these",2,3,1,2
"RC6XdFCqG3u6H5f3A",23,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim3_vaccines_false.png","Probabilistic","0",TRUE,"10","38","27",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",33314,"UNITED STATES",23,"Yes, full time","Some college","Yes, part time","$20,001 - $50,000","3-5","0","Democratic","Liberal","Definitely not","I do not identify with any of these",2,3,1,2
"poDbBewpaJkdgqdbf",36,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim9_politics_true.png","Probabilistic","100",FALSE,"8","37","45",FALSE,FALSE,FALSE,"Female","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",62549,"UNITED STATES",51,"No","Master's degree","Yes, full time","$20,001 - $50,000","2","0","Republican","Conservative","Might or might not","Catholicism",4,3,3,2
"poDbBewpaJkdgqdbf",36,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim10_politics_true.png","Probabilistic","100",FALSE,"98","100","100",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",62549,"UNITED STATES",51,"No","Master's degree","Yes, full time","$20,001 - $50,000","2","0","Republican","Conservative","Might or might not","Catholicism",4,3,3,2
"poDbBewpaJkdgqdbf",36,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim3_vaccines_false.png","Probabilistic","0",TRUE,"41","37","24",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",62549,"UNITED STATES",51,"No","Master's degree","Yes, full time","$20,001 - $50,000","2","0","Republican","Conservative","Might or might not","Catholicism",4,3,3,2
"poDbBewpaJkdgqdbf",36,"stim8_f_num,stim3_f_num,stim10_t_num,stim9_t_num","stim8_news_false.png","Probabilistic","0",TRUE,"63","47","59",FALSE,TRUE,FALSE,"Female","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",62549,"UNITED STATES",51,"No","Master's degree","Yes, full time","$20,001 - $50,000","2","0","Republican","Conservative","Might or might not","Catholicism",4,3,3,2
"bdWMJL9TYmWYepD4d",10,"stim5_f_num,stim4_f_num,stim11_t_num,stim14_t_num","stim4_vaccines_false.png","Probabilistic","0",TRUE,"25","0","1",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Married","Yes","Excellent","English",83854,"UNITED STATES",42,"No","Bachelor's degree","Yes, part time","$75,001-$100,000","3-5","1-2","Democratic","Liberal","Definitely not","Atheism",3,5,1,2
"bdWMJL9TYmWYepD4d",10,"stim5_f_num,stim4_f_num,stim11_t_num,stim14_t_num","stim11_politics_true.png","Probabilistic","100",FALSE,"50","98","98",FALSE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Married","Yes","Excellent","English",83854,"UNITED STATES",42,"No","Bachelor's degree","Yes, part time","$75,001-$100,000","3-5","1-2","Democratic","Liberal","Definitely not","Atheism",3,5,1,2
"bdWMJL9TYmWYepD4d",10,"stim5_f_num,stim4_f_num,stim11_t_num,stim14_t_num","stim5_vaccines_false.png","Probabilistic","0",TRUE,"8","0","4",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Married","Yes","Excellent","English",83854,"UNITED STATES",42,"No","Bachelor's degree","Yes, part time","$75,001-$100,000","3-5","1-2","Democratic","Liberal","Definitely not","Atheism",3,5,1,2
"AXvCWx6XTMezX4KA7",4,"stim5_f_num,stim4_f_num,stim11_t_num,stim14_t_num","stim14_health_true.png","Probabilistic","100",FALSE,"100","95","100",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",70437,"UNITED STATES",32,"No","Some college","Yes, part time","$20,001 - $50,000","3-5","0","No.ID","Liberal","Probably yes","Protestantism",2,3,4,2
"AXvCWx6XTMezX4KA7",4,"stim5_f_num,stim4_f_num,stim11_t_num,stim14_t_num","stim4_vaccines_false.png","Probabilistic","0",TRUE,"15","15","15",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",70437,"UNITED STATES",32,"No","Some college","Yes, part time","$20,001 - $50,000","3-5","0","No.ID","Liberal","Probably yes","Protestantism",2,3,4,2
"AXvCWx6XTMezX4KA7",4,"stim5_f_num,stim4_f_num,stim11_t_num,stim14_t_num","stim5_vaccines_false.png","Probabilistic","0",TRUE,"0","0","0",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",70437,"UNITED STATES",32,"No","Some college","Yes, part time","$20,001 - $50,000","3-5","0","No.ID","Liberal","Probably yes","Protestantism",2,3,4,2
"wRe57LkPeC9epJnML",39,"stim5_f_num,stim4_f_num,stim11_t_num,stim14_t_num","stim5_vaccines_false.png","Probabilistic","0",TRUE,"51","54","45",FALSE,FALSE,TRUE,"Female","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",32258,"UNITED STATES",26,"No","Bachelor's degree","Yes, full time","$100,001 - $150,000","3-5","0","Independent","Liberal","Probably not","Agnosticism",3,6,2,2
"wRe57LkPeC9epJnML",39,"stim5_f_num,stim4_f_num,stim11_t_num,stim14_t_num","stim14_health_true.png","Probabilistic","100",FALSE,"80","83","82",TRUE,TRUE,TRUE,"Female","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",32258,"UNITED STATES",26,"No","Bachelor's degree","Yes, full time","$100,001 - $150,000","3-5","0","Independent","Liberal","Probably not","Agnosticism",3,6,2,2
"wRe57LkPeC9epJnML",39,"stim5_f_num,stim4_f_num,stim11_t_num,stim14_t_num","stim11_politics_true.png","Probabilistic","100",FALSE,"8","8","9",FALSE,FALSE,FALSE,"Female","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",32258,"UNITED STATES",26,"No","Bachelor's degree","Yes, full time","$100,001 - $150,000","3-5","0","Independent","Liberal","Probably not","Agnosticism",3,6,2,2
"wRe57LkPeC9epJnML",39,"stim5_f_num,stim4_f_num,stim11_t_num,stim14_t_num","stim4_vaccines_false.png","Probabilistic","0",TRUE,"62","51","48",FALSE,FALSE,TRUE,"Female","White, non-Hispanic or Latino","Single, never married","Yes","Excellent","English",32258,"UNITED STATES",26,"No","Bachelor's degree","Yes, full time","$100,001 - $150,000","3-5","0","Independent","Liberal","Probably not","Agnosticism",3,6,2,2
"omijLjFnStQ5fM49D",22,"stim1_f_num,stim6_f_num,stim13_t_num,stim18_t_num","stim1_false_political.png","Probabilistic","0",TRUE,"5","5","5",TRUE,TRUE,TRUE,"Female","Hispanic or Latino (e.g. Mexican, Puerto Rican, Cuban, etc.)","Living with partner","Yes","Excellent","Spanish or Spanish Creole",32303,"UNITED STATES",27,"No","High school diploma or GED","Yes, full time","$20,001 - $50,000","3-5","0","Democratic","Liberal","Probably not","Catholicism",1,3,2,2
"omijLjFnStQ5fM49D",22,"stim1_f_num,stim6_f_num,stim13_t_num,stim18_t_num","stim18_terrorism_true.png","Probabilistic","100",FALSE,"34","61","30",FALSE,TRUE,FALSE,"Female","Hispanic or Latino (e.g. Mexican, Puerto Rican, Cuban, etc.)","Living with partner","Yes","Excellent","Spanish or Spanish Creole",32303,"UNITED STATES",27,"No","High school diploma or GED","Yes, full time","$20,001 - $50,000","3-5","0","Democratic","Liberal","Probably not","Catholicism",1,3,2,2
