"Q9","Q8_First.Click","Q8_Last.Click","Q8_Page.Submit","Q8_Click.Count","stim1_t_First.Click","stim1_t_Last.Click","stim1_t_Page.Submit","stim1_t_Click.Count","stim1_fav_4","stim1_made_4","stim1_bias_4","stim3_t_First.Click","stim3_t_Last.Click","stim3_t_Page.Submit","stim3_t_Click.Count","stim3_favor_4","stim3_.ade_4","stim3_bias_4","stim4_t_First.Click","stim4_t_Last.Click","stim4_t_Page.Submit","stim4_t_Click.Count","stim4_favor_4","stim4_made_4","stim4_bias_4","stim5_t_First.Click","stim5_t_Last.Click","stim5_t_Page.Submit","stim5_t_Click.Count","stim5_favor_4","stim5_made_4","stim5_bias_4","stim6_t_First.Click","stim6_t_Last.Click","stim6_t_Page.Submit","stim6_t_Click.Count","stim6_favor_4","stim6_made_4","stim6_bias_4","stim8_t_First.Click","stim8_t_Last.Click","stim8_t_Page.Submit","stim8_t_Click.Count","stim8_favor_4","stim8_made_4","stim8_bias_4","stim9_t_First.Click","stim9_t_Last.Click","stim9_t_Page.Submit","stim9_t_Click.Count","stim9_favor_4","stim9_made_4","stim9_bias_4","stim10_t_First.Click","stim10_t_Last.Click","stim10_t_Page.Submit","stim10_t_Click.Count","stim10_favor_4","stim10_made_4","stim10_bias_4","Q67_First.Click","Q67_Last.Click","Q67_Page.Submit","Q67_Click.Count","stim11_favor_4","stim11_made_4","stim11_bias_4","stim13_t_First.Click","stim13_t_Last.Click","stim13_t_Page.Submit","stim13_t_Click.Count","stim13_favor_4","stim13_made_4","stim13_bias_4","stim14_t_First.Click","stim14_t_Last.Click","stim14_t_Page.Submit","stim14_t_Click.Count","stim14_favor_4","stim14_made_4","stim14_bias_4","stim18_t_First.Click","stim18_t_Last.Click","stim18_t_Page.Submit","stim18_t_Click.Count","stim18_favor_4","stim18_made_4","stim18_bias_4","Q120","Q122","coder_id"
"I understand these instructions.",2.811,5.137,5.898,3,1.577,3.926,5.287,3,-16,41,10,1.646,4.261,4.938,3,5,-6,4,0.994,3.246,3.813,3,4,-7,12,3.223,5.629,6.742,3,5,-9,4,1.129,4.235,4.843,4,18,-11,12,1.11,3.157,3.88,3,4,-7,4,1.354,3.697,4.515,3,11,-10,4,1.749,5.714,8.135,4,4,-7,4,1.059,4.782,6.18,4,4,-6,9,2.084,5.601,6.45,3,11,-7,11,1.608,4.286,5.491,3,5,-4,10,1.542,5.023,6.257,4,-12,9,4,"Independent","Man",341922
"I understand these instructions.",8.783,16.355,18.74,5,9.554,15.831,17.474,3,50,50,7,2.295,8.864,10.122,3,NA,NA,50,5.017,9.145,10.421,3,NA,NA,50,12.708,17.631,19.238,3,NA,NA,50,14.816,21.528,23.356,3,42,50,24,6.237,10.718,11.956,3,NA,NA,50,7.598,15.497,18.576,3,NA,NA,-34,16.427,23.578,30.517,3,50,50,50,9.692,21.196,22.552,3,10,-9,38,9.473,15.321,17.531,3,-36,-50,-50,13.022,20.009,21.571,4,-5,-35,-48,11.639,24.661,25.239,5,NA,NA,-50,"Democrat","Man",728248
"I understand these instructions.",15.041,24.912,26.753,3,3.3,17.689,22.587,5,9,24,7,1.258,10.552,13.026,5,17,9,29,2.762,15.143,15.873,3,11,14,29,3.6,10.63,11.945,7,11,20,8,1.606,6.732,8.124,3,13,-9,17,0.8,11.238,12.431,5,15,-5,8,4.993,18.67,20.729,5,-11,12,-32,0.525,9.615,10.844,6,28,16,-11,6.066,12.98,14.254,3,16,35,13,8.08,24.132,27.802,11,13,5,-39,1.092,13.208,14.943,5,12,-11,15,6.822,11.54,13.317,2,22,7,-10,"Republican","Man",816611
"I understand these instructions.",14.9,52.194,60.123,4,15.624,24.309,25.259,3,50,50,-30,19.378,25.578,26.305,3,-30,-50,40,34.314,55.472,59.424,5,-25,-25,NA,29.901,39.551,51.097,3,NA,-30,-15,27.956,52.197,53.132,5,-30,-30,30,8.705,11.896,13.063,4,NA,NA,-50,25.611,30.242,30.951,3,25,25,10,26.618,34.253,35.447,3,50,50,50,24.556,36.509,37.569,4,-50,-50,-10,17.503,23.801,24.932,3,50,50,50,0.02,21.19,21.979,8,50,50,40,22.346,24.927,26.533,3,NA,NA,-50,"Republican","Man",184851
"I understand these instructions.",40.085,88.909,91.495,6,18.734,30.132,31.121,4,45,44,40,7.857,13.923,16.173,4,NA,NA,NA,7.568,16.884,18.391,5,NA,NA,-46,14.773,23.011,24.419,5,NA,NA,-44,20.55,34.023,35.173,5,44,45,35,13.243,21.533,23.164,5,NA,NA,-42,22.397,30.565,31.811,5,NA,NA,NA,25.461,34.964,35.898,5,39,39,40,32.561,43.113,44.432,5,-25,-25,-34,22.489,55.699,57.15,9,-12,-20,21,36.763,44.459,45.962,3,NA,NA,-42,15.588,25.545,26.739,5,NA,NA,-16,"Republican","Man",526201
"I understand these instructions.",38.652,46.466,47.434,6,32.478,39.412,40.106,5,-15,-24,NA,166.28,167.872,168.925,3,NA,NA,NA,14.304,25.518,26.225,7,26,18,NA,1.177,8.461,9.486,6,21,23,NA,11.72,18.561,19.502,4,-14,-16,NA,0.879,34.903,35.885,11,25,NA,NA,7.512,19.817,20.772,7,20,48,NA,10.813,18.381,19.229,6,-25,-20,NA,17.091,24.494,25.322,5,31,14,NA,11.469,22.18,22.936,9,23,8,NA,3.678,12.247,13.345,3,23,41,NA,15.515,31.153,32.084,8,-19,-12,NA,"Republican","Woman",445285
"I understand these instructions.",43.187,50.428,51.014,6,21.325,26.654,27.449,3,34,35,NA,17.486,22.865,25.042,3,39,36,NA,3.29,6.275,7.069,2,39,NA,NA,100.108,108.677,110.647,3,41,33,NA,5.29,16.266,17.257,4,32,42,NA,13.366,33.368,35.567,3,NA,35,NA,6.756,6.756,8.503,1,NA,NA,NA,2.385,7.348,8.12,5,45,NA,NA,14.145,17.507,17.832,5,NA,36,NA,39.831,41.594,42.541,3,NA,36,NA,25.836,35.247,35.944,6,34,36,NA,26.501,31.82,32.84,2,NA,26,NA,"Republican","Man",742373
"I understand these instructions.",5.158,12.544,14.367,4,3.771,9.807,11.991,3,-13,-13,-10,2.822,5.084,6.416,2,14,-18,-17,4.357,14.357,15.572,5,21,NA,48,1.175,9.712,11.463,4,14,17,4,0.671,13.667,15.8,7,-17,-30,-20,0.889,6.678,8.976,5,18,NA,20,3.131,11.278,15.578,9,28,NA,21,3.59,16.731,21.98,4,13,7,14,1.635,7.459,9.985,5,20,NA,20,1.581,1.581,3.133,1,31,27,35,9.384,17.177,18.905,3,13,7,20,2.873,9.693,11.106,2,13,-7,13,"Democrat","Man",528864
"I understand these instructions.",9.364,17.492,18.258,3,8.8,13.335,14.524,3,11,24,11,6.17,11.101,12.026,3,14,15,14,5.476,9.722,11.088,3,11,16,3,52.61,56.223,57.681,3,-6,-15,17,4.753,8.61,9.392,3,22,23,11,4.234,9.32,10.136,4,1,1,-21,59.278,67.613,68.644,5,-13,-4,-9,3.322,13.411,15.096,5,-1,1,NA,3.151,6.915,7.869,3,22,30,28,3.007,7.473,8.654,3,33,31,25,10.92,14.947,16.167,3,NA,-1,-8,38.915,43.325,44.286,3,6,17,8,"Democrat","Woman",291472
"I understand these instructions.",0.543,4.487,5.028,3,0.621,6.085,6.517,5,-23,39,30,1.793,8.698,9.223,3,NA,34,48,0.033,2.567,4.961,3,39,NA,17,2.13,3.584,4.247,2,34,38,21,1.493,5.7,6.522,6,39,30,-24,4.183,15.922,16.172,4,22,-1,33,1.012,6.005,6.315,5,41,-23,33,0.273,5.971,7.055,6,39,44,-22,2.016,4.52,5.497,3,40,50,-28,1.067,1.067,2.601,1,NA,NA,37,1.251,3.288,4.304,3,25,-23,33,2.278,5.641,6.491,4,36,-20,47,"Democrat","Woman",872722
"I understand these instructions.",2.273,4.379,5.474,3,3.398,7.969,8.989,4,41,40,44,1.133,11.185,11.939,5,-32,-42,47,0.917,6.7,7.963,4,38,46,32,6.87,13.1,14.374,5,46,44,12,19.602,22.114,26.904,2,-40,-36,-39,0.698,13.839,15,7,44,37,28,3.456,48.639,57.148,6,30,35,34,81.481,114.178,117.46,12,-50,-50,50,11.455,17.806,19.772,4,43,45,42,3.489,11.16,12.859,4,-45,-39,-42,1.352,67.115,70.07,6,-46,-41,-50,143.669,157.656,158.93,6,35,15,45,"Republican","Man",622986
"I understand these instructions.",34.633,41.376,42.414,3,3.79,8.958,9.978,3,-19,-23,-18,37.028,41.843,43.024,3,14,-19,-22,3.769,18.577,32.453,5,-18,-21,21,118.54,118.54,120.025,1,NA,NA,-12,2.342,9.065,9.599,6,-26,-16,-16,0.195,64.222,65.113,8,-13,-21,-19,2.201,7.129,8.442,4,-27,-27,-27,0.657,5.729,7.061,3,-20,-15,-10,17.01,27.742,28.905,5,-20,-22,-26,6.9,11.812,13.343,3,-22,-23,-17,117.934,118.692,119.67,2,NA,NA,-13,4.126,9.685,11.274,3,-28,-23,-23,"Democrat","Woman",545749
"I understand these instructions.",12.085,18.379,19.095,7,10.792,14.208,14.931,3,38,44,43,8.692,12.837,13.591,3,36,48,44,7.697,11.816,12.893,3,NA,NA,-42,7.368,11.024,13.329,3,NA,NA,-47,13.598,17.955,18.623,4,38,45,46,1.895,20.886,21.984,6,NA,NA,-44,6.094,22.717,23.494,8,-37,-44,43,30.531,57.853,58.622,10,39,39,44,20.475,44.771,45.98,11,-21,-34,18,14.624,22.617,23.896,3,-28,-33,33,9.395,16.435,16.76,6,-30,-36,11,1.139,38.044,39.733,12,-11,-32,-23,"Democrat","Man",456071
"I understand these instructions.",23.504,30.22,31.583,4,19.136,27.419,28.264,5,50,50,29,20.257,24.34,25.691,3,-50,-50,-50,24.068,38.198,39.6,6,NA,NA,NA,24.732,28.115,29.305,4,-22,-21,-22,19.098,24.051,24.721,4,50,50,50,8.591,11.825,24.24,3,NA,NA,NA,10.605,17.401,27.417,4,-50,-50,-50,3.501,26.008,36.046,4,50,50,50,45.238,59.237,60.01,5,39,38,37,15.955,19.886,20.841,3,-24,-24,-16,39.725,50.059,60.01,3,50,50,50,8.387,12.046,12.992,3,NA,NA,NA,"Independent","Man",207405
"I understand these instructions.",19.235,29.515,30.633,7,17.245,51.18,51.843,10,50,50,50,18.438,27.604,28.837,7,NA,NA,NA,2.968,12.273,14.263,7,NA,NA,NA,21.201,35.089,35.695,10,NA,NA,-50,14.812,70.07,71.192,4,50,NA,-50,5.559,10.037,11.102,3,NA,NA,NA,12.114,30.188,31.502,7,-50,-50,50,19.935,77.27,78.469,8,50,50,50,54.089,62.215,63.543,7,-50,-50,50,40.593,45.243,48.311,5,50,NA,50,9.165,17.606,18.436,6,-50,-50,50,12.318,22.504,23.455,8,NA,NA,NA,"Independent","Woman",344870
"I understand these instructions.",11.387,17.499,20.774,3,17.663,27.93,28.54,3,30,45,20,11.438,24.112,25.489,3,-10,20,15,9.712,34.955,35.57,3,NA,15,15,9.887,54.526,54.785,6,NA,15,25,16.103,23.265,27.674,3,25,45,35,6.049,19.11,29.774,3,NA,5,-20,13.02,27.442,27.982,4,-15,-20,10,2.22,51.902,58.425,4,25,45,25,43.702,55.414,60.114,3,NA,15,-7,11.159,22.15,22.703,3,-25,-40,10,22.107,33.567,34.158,4,-35,-40,20,0.259,25.365,29.739,4,-5,-15,30,"Democrat","Woman",341366
"I understand these instructions.",14.403,27.938,30.613,4,5.108,13.56,14.574,3,24,-18,NA,4.145,14.856,16.724,4,20,-10,NA,7.341,18.125,20.342,4,21,17,NA,1.416,9.483,10.642,4,NA,21,NA,2.091,9.953,11.694,4,17,23,NA,1.806,10.7,12.737,3,24,-12,NA,37.008,46.277,48.353,4,13,16,NA,20.998,30.393,32.116,3,22,26,NA,28.73,39.144,46.02,5,24,26,NA,6.131,14.656,16.672,3,21,-12,NA,20.477,31.038,32.832,4,17,25,NA,78.529,108.704,109.887,7,NA,20,NA,"Republican","Man",523686
"I understand these instructions.",68.785,83.582,85.256,10,48.029,59.711,60.153,6,11,-6,11,49.438,56.979,58.432,5,50,50,9,9.824,33.538,34.977,9,50,46,2,6.084,15.35,16.577,6,50,50,7,10.812,17.372,18.608,5,50,50,-1,4.307,19.942,21.071,8,NA,14,-2,3.353,37.985,39.389,10,-50,-50,50,17.117,24.218,25.484,5,1,-3,1,18.178,34.833,36.249,9,-17,-44,16,2.094,17.56,20.068,6,-37,-26,-1,4.144,24.717,26.467,8,-50,-45,-42,11.281,29.281,30.27,9,NA,NA,-1,"Republican","Woman",341127
"I understand these instructions.",0.237,12.637,25.313,12,0.793,9.523,10.869,11,-12,-13,NA,7.264,25.546,26.026,14,-15,-3,43,1.482,13.053,13.796,15,40,NA,21,0.908,8.187,8.835,11,-21,-20,NA,2.767,30.198,35.886,12,11,-7,15,0.781,3.598,4.344,8,-8,11,-7,0.986,9.641,10.096,13,18,NA,10,2.783,7.428,8.568,10,NA,-4,8,0.626,10.302,10.769,10,-20,-15,10,0.624,18.271,18.813,16,15,9,13,0.758,8.021,8.614,10,-7,NA,1,0.197,6.112,6.825,10,-21,8,NA,"Independent","Woman",106820
"I understand these instructions.",24.524,27.499,28.484,3,6.609,10.25,10.97,3,8,23,18,0.935,4.347,5.214,3,19,14,24,1.218,1.218,1.975,1,15,20,33,NA,NA,0.698,NA,23,-7,-8,NA,NA,0.853,NA,16,22,21,2.003,6.241,7.263,4,16,7,-13,19.029,37.165,45.14,4,12,17,-11,NA,NA,2.577,NA,-7,-7,21,0.861,0.861,1.694,1,18,14,20,0.368,4.932,5.884,4,-15,15,-11,0.441,1.857,2.837,2,-15,12,17,NA,NA,3.577,NA,10,-8,12,"Republican","Man",222803
"I understand these instructions.",13.408,22.355,23.535,4,5.702,9.892,10.786,3,24,-26,-22,2.348,7.693,8.582,3,30,-26,30,2.335,5.955,8.795,3,16,-19,-15,12.456,18.762,20.368,4,-15,20,-14,1.915,7.166,8.283,3,-28,23,-25,2.546,6.502,7.32,3,-18,25,35,1.788,6.289,7.14,3,27,25,27,2.276,6.351,7.039,3,23,-22,27,165.722,205.004,210.477,6,30,19,17,2.258,6.539,7.872,3,29,26,-20,2.863,12.426,13.096,3,-20,20,24,3.101,7.476,8.93,3,-21,21,-36,"Republican","Man",161519
"I understand these instructions.",31.424,84.653,85.406,7,19.228,27.71,29.133,3,50,50,50,31.203,43.466,44.692,4,NA,NA,-50,6.976,11.431,12.932,3,NA,NA,8,7.645,16.699,17.774,4,NA,NA,3,34.719,84.272,85.577,10,NA,-10,-4,13.363,44.142,45.156,3,NA,NA,-34,16.283,22.798,24.14,3,NA,NA,41,40.834,72.354,73.617,7,-50,-50,50,35.952,47.136,48.675,4,NA,31,37,16.309,23.489,24.284,3,NA,NA,32,38.853,46.66,49.525,3,NA,NA,39,44.508,56.932,58.333,4,NA,NA,21,"Independent","Man",390544
"I understand these instructions.",1.854,8.306,9.519,3,0.721,6.533,8.196,6,-26,-20,-33,3.146,9.496,10.471,3,28,-35,-27,0.625,6.133,8.328,3,-31,-25,-38,0.754,8.225,9.205,4,-36,-28,27,1.728,6.694,7.94,5,-29,-35,-25,0.393,10.109,10.404,5,-28,-27,-19,2.315,9.923,19.75,3,-26,-33,31,0.254,4.803,7.811,5,-15,-31,-24,1.812,9.428,10.422,7,31,-22,-32,12.048,20.581,22.342,4,-32,-30,24,2.235,7.636,9.036,3,-32,-26,-38,8.646,24.376,27.372,3,-32,20,25,"Democrat","Woman",695496
"I understand these instructions.",15.607,19.663,20.214,3,16.034,20.769,21.542,3,38,44,45,16.79,21.098,21.891,3,12,15,17,5.702,22.834,23.805,5,8,11,14,10.477,29.744,30.598,5,16,10,9,19.557,23.489,24.285,3,39,40,47,6.717,12.998,16.485,4,NA,NA,NA,9.457,19.529,19.945,4,16,29,27,23.431,29.44,30.165,4,28,34,28,25.51,29.471,31.374,3,39,42,46,17.614,22.931,24.028,3,-22,-17,-29,21.677,28.304,29.447,4,-36,-30,-24,44.174,51.367,53.307,5,NA,NA,NA,"Independent","Woman",655078
"I understand these instructions.",7.187,20.126,20.969,7,1.515,5.464,6.587,3,39,-31,19,1.891,17.495,18.39,6,27,-32,26,2.347,9.071,10.377,3,32,-22,30,2.466,10.931,12.187,4,35,-33,29,1.782,8.633,10.223,5,40,-21,35,2.393,7.678,8.539,3,28,-26,43,2.094,9.956,11.03,6,14,-23,23,2.836,13.869,14.655,3,37,-27,34,5.83,12.11,12.862,4,30,-27,27,1.764,10.204,11.486,4,24,-34,24,6.972,19.145,24.159,4,24,26,-22,2.515,12.043,13.273,4,27,-29,26,"Republican","Man",562339
"I understand these instructions.",1.303,2.701,3.518,2,1.119,4,5.266,3,8,11,19,1.649,4.473,5.082,3,17,19,27,1.29,4.065,4.934,3,14,20,-12,2.337,6.195,7.043,3,22,16,14,0.415,40.493,41.842,3,10,13,21,3.932,5.769,7.348,2,30,19,18,2.726,2.726,3.77,1,23,18,20,37.455,40.779,41.864,3,9,8,20,0.011,1.175,2.458,2,18,19,-7,49.455,52.612,53.528,3,15,21,-7,49.02,53.385,53.836,4,11,15,13,0.78,14.043,15.578,6,1,18,14,"Republican","Man",538382
"I understand these instructions.",17.623,26.292,30.618,3,2.261,12.124,14.234,3,21,27,24,2.794,11.722,12.857,3,25,25,25,10.499,24.678,27.327,4,31,15,26,2.489,12.394,14.349,3,16,28,20,5.85,18.001,19.862,4,31,20,28,18.132,25.487,28.738,3,-25,-30,-14,3.769,9.971,11.515,3,31,23,25,2.937,13.072,16.556,3,31,33,36,9.131,15.687,16.838,3,36,31,28,3.687,11.944,13.099,3,32,33,24,26.028,37.972,39.983,3,22,26,26,57.511,75.573,78.344,3,-17,12,23,"Republican","Man",386023
"I understand these instructions.",36.916,55.63,57.402,4,21.238,28.263,29.499,3,50,50,50,16.315,25.94,27.121,5,3,19,-20,36.05,43.827,45.439,3,5,30,5,49.872,79.281,80.368,8,2,25,12,39.109,49.348,50,4,50,50,35,12.961,27.218,28.246,5,1,36,-21,33.227,42.764,43.814,3,2,NA,NA,56.861,68.565,70.177,3,50,50,50,57.872,67.49,68.455,3,-10,NA,4,18.177,29.043,31.111,4,-50,-50,-10,19.355,28.116,29.424,4,-28,-50,4,25.784,41.589,42.831,3,NA,-11,-50,"Democrat","Woman",969721
"I understand these instructions.",1.101,5.22,6.708,3,1.421,8.319,9.501,6,10,26,26,1.642,8.028,9.304,7,15,24,15,1.204,7.343,8.625,7,12,8,17,1.767,7.784,10.175,3,2,8,11,1.699,5.508,6.836,3,18,10,6,1.515,9.237,10.333,6,8,6,6,1.498,10.943,11.99,7,6,11,7,1.7,6.513,7.503,4,17,8,15,4.686,9.975,14,6,10,9,15,1.336,20.508,27.086,6,1,10,-7,2.088,7.81,8.903,4,5,7,5,5.896,16.601,20.519,4,6,12,25,"Democrat","Man",311716
"I understand these instructions.",8.228,13.51,14.725,3,12.86,21.031,22.439,3,NA,50,50,7.75,16.587,17.215,4,NA,50,50,8.906,11.858,12.863,3,NA,NA,-50,19.759,29.527,30.247,4,NA,NA,-50,22.968,26.899,27.623,3,20,50,50,9.51,12.927,13.827,3,NA,NA,-50,10.759,20.181,21.044,4,-27,NA,-50,22.145,27.736,29.861,3,11,50,30,19.42,29.367,30.012,4,-50,-14,-36,11.11,16.386,17.052,4,-50,-21,-50,16.585,22.547,23.742,3,-50,-50,-50,10.982,16.23,16.878,4,-20,NA,-50,"Democrat","Man",260374
"I understand these instructions.",53.916,57.162,57.725,3,4.223,6.27,6.639,3,-14,-28,40,6.436,8.623,9.089,3,-33,-47,26,1146.304,1150.836,1151.727,3,-14,-26,10,3.474,5.28,5.86,3,-8,-22,11,737.513,741.248,741.76,3,-40,-31,30,6.789,9.624,10.107,3,16,12,-13,3.853,6.536,6.725,4,-34,-38,-16,255.306,260.097,260.739,4,-9,-14,-35,7.103,9.114,9.528,3,-15,-30,17,3.915,6.128,7.126,4,-21,-13,16,3.536,6.116,7.159,3,-21,-28,16,28.746,31.04,31.706,3,-9,-16,-34,"Independent","Man",100282
